#Seconds X0Y0 X1Y0 X2Y0 X3Y0 X4Y0 X5Y0 X0Y1 X1Y1 X2Y1 X3Y1 X4Y1 X5Y1 X0Y2 X1Y2 X2Y2 X3Y2 X4Y2 X5Y2
0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9e-05 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0001 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00011 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00012 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00013 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00014 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00015 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00016 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00017 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00018 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00019 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0002 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00021 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00022 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00023 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00024 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00025 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00026 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00027 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00028 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00029 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0003 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00031 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00032 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00033 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00034 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00035 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00036 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00037 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00038 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00039 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0004 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00041 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00042 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00043 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00044 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00045 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00046 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00047 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00048 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00049 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0005 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00051 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00052 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00053 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00054 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00055 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00056 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00057 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00058 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00059 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0006 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00061 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00062 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00063 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00064 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00065 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00066 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00067 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00068 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00069 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0007 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00071 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00072 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00073 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00074 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00075 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00076 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00077 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00078 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00079 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.0008 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00081 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00082 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.00083 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
